arith.divider_active, 0x114
offcore_response.demand_data_rd.l3_hit_e.any_snoop_0, 0x1b7, 0x3fc0080001
offcore_response.demand_data_rd.l3_hit_e.any_snoop_1, 0x1bb, 0x3fc0080001
offcore_response.demand_data_rd.l3_hit_e.snoop_hit_no_fwd_0, 0x1b7, 0x400080001
offcore_response.demand_data_rd.l3_hit_e.snoop_hit_no_fwd_1, 0x1bb, 0x400080001
offcore_response.demand_data_rd.l3_hit_e.snoop_hitm_0, 0x1b7, 0x1000080001
offcore_response.demand_data_rd.l3_hit_e.snoop_hitm_1, 0x1bb, 0x1000080001
offcore_response.demand_data_rd.l3_hit_e.snoop_miss_0, 0x1b7, 0x200080001
offcore_response.demand_data_rd.l3_hit_e.snoop_miss_1, 0x1bb, 0x200080001
offcore_response.demand_data_rd.l3_hit_e.snoop_non_dram_0, 0x1b7, 0x2000080001
offcore_response.demand_data_rd.l3_hit_e.snoop_non_dram_1, 0x1bb, 0x2000080001
offcore_response.demand_data_rd.l3_hit_e.snoop_none_0, 0x1b7, 0x80080001
offcore_response.demand_data_rd.l3_hit_e.snoop_none_1, 0x1bb, 0x80080001
offcore_response.demand_data_rd.l3_hit_e.snoop_not_needed_0, 0x1b7, 0x100080001
offcore_response.demand_data_rd.l3_hit_e.snoop_not_needed_1, 0x1bb, 0x100080001
offcore_response.demand_data_rd.l3_hit_e.spl_hit_0, 0x1b7, 0x40080001
offcore_response.demand_data_rd.l3_hit_e.spl_hit_1, 0x1bb, 0x40080001
offcore_response.demand_data_rd.l3_hit_m.any_snoop_0, 0x1b7, 0x3fc0040001
offcore_response.demand_data_rd.l3_hit_m.any_snoop_1, 0x1bb, 0x3fc0040001
offcore_response.demand_data_rd.l3_hit_m.snoop_hit_no_fwd_0, 0x1b7, 0x400040001
offcore_response.demand_data_rd.l3_hit_m.snoop_hit_no_fwd_1, 0x1bb, 0x400040001
offcore_response.demand_data_rd.l3_hit_m.snoop_hitm_0, 0x1b7, 0x1000040001
offcore_response.demand_data_rd.l3_hit_m.snoop_hitm_1, 0x1bb, 0x1000040001
offcore_response.demand_data_rd.l3_hit_m.snoop_miss_0, 0x1b7, 0x200040001
offcore_response.demand_data_rd.l3_hit_m.snoop_miss_1, 0x1bb, 0x200040001
offcore_response.demand_data_rd.l3_hit_m.snoop_non_dram_0, 0x1b7, 0x2000040001
offcore_response.demand_data_rd.l3_hit_m.snoop_non_dram_1, 0x1bb, 0x2000040001
offcore_response.demand_data_rd.l3_hit_m.snoop_none_0, 0x1b7, 0x80040001
offcore_response.demand_data_rd.l3_hit_m.snoop_none_1, 0x1bb, 0x80040001
offcore_response.demand_data_rd.l3_hit_m.snoop_not_needed_0, 0x1b7, 0x100040001
offcore_response.demand_data_rd.l3_hit_m.snoop_not_needed_1, 0x1bb, 0x100040001
offcore_response.demand_data_rd.l3_hit_m.spl_hit_0, 0x1b7, 0x40040001
offcore_response.demand_data_rd.l3_hit_m.spl_hit_1, 0x1bb, 0x40040001
offcore_response.demand_data_rd.l3_hit_s.any_snoop_0, 0x1b7, 0x3fc0100001
