arith.div_active, 0x3cd
unc_cha_tor_inserts.io_hit, 0xc001fd0435
unc_cha_tor_inserts.io_hit_itom, 0xcc43fd0435
unc_cha_tor_inserts.io_hit_itomcachenear, 0xcd43fd0435
unc_cha_tor_inserts.io_hit_pcirdcur, 0xc8f3fd0435
unc_cha_tor_inserts.io_hit_rfo, 0xc803fd0435
unc_cha_tor_inserts.io_itom, 0xcc43ff0435
unc_cha_tor_inserts.io_itom_local, 0xcc42ff0435
unc_cha_tor_inserts.io_itom_remote, 0xcc437f0435
unc_cha_tor_inserts.io_itomcachenear, 0xcd43ff0435
unc_cha_tor_inserts.io_itomcachenear_local, 0xcd42ff0435
unc_cha_tor_inserts.io_itomcachenear_remote, 0xcd437f0435
unc_cha_tor_inserts.io_miss, 0xc001fe0435
unc_cha_tor_inserts.io_miss_itom, 0xcc43fe0435
unc_cha_tor_inserts.io_miss_itomcachenear, 0xcd43fe0435
unc_cha_tor_inserts.io_miss_pcirdcur, 0xc8f3fe0435
unc_cha_tor_inserts.io_miss_rfo, 0xc803fe0435
unc_cha_tor_inserts.io_pcirdcur, 0xc8f3ff0435
unc_cha_tor_inserts.io_pcirdcur_local, 0xc8f2ff0435
unc_cha_tor_inserts.io_pcirdcur_remote, 0xc8f37f0435
unc_cha_tor_inserts.io_rfo, 0xc803ff0435
unc_cha_tor_inserts.io_wbmtoi, 0xcc23ff0435
unc_cha_tor_inserts.llc_or_sf_evictions, 0xc001ff0235
unc_cha_tor_inserts.loc_all, 0xc000ff0535
unc_cha_tor_inserts.loc_ia, 0xc000ff0135
unc_cha_tor_inserts.loc_io, 0xc000ff0435
unc_cha_tor_inserts.rem_all, 0xc001ffc835
unc_cha_tor_inserts.rem_snps, 0xc001ff0835
unc_cha_tor_occupancy.all, 0xc001ffff36
unc_cha_tor_occupancy.cxl_hit_clflush, 0x78c8c7fd2036
unc_cha_tor_occupancy.cxl_hit_fsrdcur, 0x78c8effd2036
unc_cha_tor_occupancy.cxl_hit_fsrdcurptl, 0x78c9effd2036
unc_cha_tor_occupancy.cxl_hit_itom, 0x78cc47fd2036
unc_cha_tor_occupancy.cxl_hit_itomwr, 0x78cc4ffd2036
unc_cha_tor_occupancy.cxl_hit_mempushwr, 0x78cc6ffd2036
unc_cha_tor_occupancy.cxl_hit_wcil, 0x78c86ffd2036
unc_cha_tor_occupancy.cxl_hit_wcilf, 0x78c867fd2036
unc_cha_tor_occupancy.cxl_hit_wil, 0x78c87ffd2036
unc_cha_tor_occupancy.cxl_miss_clflush, 0x78c8c7fe2036
unc_cha_tor_occupancy.cxl_miss_fsrdcur, 0x78c8effe2036
unc_cha_tor_occupancy.cxl_miss_fsrdcurptl, 0x78c9effe2036
unc_cha_tor_occupancy.cxl_miss_itom, 0x78cc47fe2036
unc_cha_tor_occupancy.cxl_miss_itomwr, 0x78cc4ffe2036
unc_cha_tor_occupancy.cxl_miss_mempushwr, 0x78cc6ffe2036
unc_cha_tor_occupancy.cxl_miss_wcil, 0x78c86ffe2036
unc_cha_tor_occupancy.cxl_miss_wcilf, 0x78c867fe2036
unc_cha_tor_occupancy.cxl_miss_wil, 0x78c87ffe2036
unc_cha_tor_occupancy.ia, 0xc001ff0136
unc_cha_tor_occupancy.ia_clflush, 0xc8c7ff0136
unc_cha_tor_occupancy.ia_clflushopt, 0xc8d7ff0136
unc_cha_tor_occupancy.ia_crd, 0xc80fff0136
unc_cha_tor_occupancy.ia_crd_pref, 0xc88fff0136
unc_cha_tor_occupancy.ia_drd_opt, 0xc827ff0136
unc_cha_tor_occupancy.ia_drd_opt_pref, 0xc8a7ff0136
unc_cha_tor_occupancy.ia_hit, 0xc001fd0136
unc_cha_tor_occupancy.ia_hit_crd, 0xc80ffd0136
unc_cha_tor_occupancy.ia_hit_crd_pref, 0xc88ffd0136
unc_cha_tor_occupancy.ia_hit_cxl_acc, 0x10c001810136
